#wl     HI_0   HI_1
1134.572  0.9989  0.9992
1134.632  0.9982  0.9987
1134.692  0.9980  0.9986
1134.751  0.9980  0.9986
1134.811  0.9979  0.9986
1134.871  0.9979  0.9986
1134.931  0.9979  0.9986
1134.991  0.9979  0.9986
1135.050  0.9979  0.9986
1135.110  0.9979  0.9986
1135.170  0.9979  0.9985
1135.230  0.9979  0.9985
1135.290  0.9979  0.9985
1135.349  0.9979  0.9985
1135.409  0.9979  0.9985
1135.469  0.9979  0.9985
1135.529  0.9979  0.9985
1135.589  0.9979  0.9985
1135.649  0.9979  0.9985
1135.708  0.9979  0.9985
1135.768  0.9978  0.9985
1135.828  0.9978  0.9985
1135.888  0.9978  0.9985
1135.948  0.9978  0.9985
1136.008  0.9978  0.9985
1136.067  0.9978  0.9985
1136.127  0.9978  0.9985
1136.187  0.9978  0.9985
1136.247  0.9978  0.9985
1136.307  0.9978  0.9985
1136.366  0.9978  0.9985
1136.426  0.9978  0.9985
1136.486  0.9978  0.9985
1136.546  0.9978  0.9985
1136.606  0.9978  0.9985
1136.666  0.9978  0.9985
1136.725  0.9978  0.9985
1136.785  0.9978  0.9985
1136.845  0.9978  0.9985
1136.905  0.9978  0.9985
1136.965  0.9978  0.9985
1137.024  0.9978  0.9985
1137.084  0.9978  0.9985
1137.144  0.9978  0.9985
1137.204  0.9978  0.9985
1137.264  0.9978  0.9985
1137.324  0.9978  0.9985
1137.383  0.9978  0.9985
1137.443  0.9977  0.9985
1137.503  0.9977  0.9985
1137.563  0.9977  0.9985
1137.623  0.9977  0.9984
1137.682  0.9977  0.9984
1137.742  0.9977  0.9984
1137.802  0.9977  0.9984
1137.862  0.9977  0.9984
1137.922  0.9977  0.9984
1137.982  0.9977  0.9984
1138.041  0.9977  0.9984
1138.101  0.9977  0.9984
1138.161  0.9977  0.9984
1138.221  0.9977  0.9984
1138.281  0.9977  0.9984
1138.340  0.9977  0.9984
1138.400  0.9977  0.9984
1138.460  0.9977  0.9984
1138.520  0.9977  0.9984
1138.580  0.9977  0.9984
1138.640  0.9977  0.9984
1138.699  0.9977  0.9984
1138.759  0.9977  0.9984
1138.819  0.9977  0.9984
