#wl     HI_0   HI_1
1134.596  0.9989  1.0000
1134.656  0.9982  1.0000
1134.715  0.9980  1.0000
1134.775  0.9980  1.0000
1134.835  0.9979  1.0000
1134.895  0.9979  1.0000
1134.955  0.9979  1.0000
1135.015  0.9979  1.0000
1135.074  0.9979  1.0000
1135.134  0.9979  1.0000
1135.194  0.9979  1.0000
1135.254  0.9979  1.0000
1135.314  0.9979  1.0000
1135.373  0.9979  1.0000
1135.433  0.9979  1.0000
1135.493  0.9979  1.0000
1135.553  0.9979  1.0000
1135.613  0.9979  1.0000
1135.673  0.9978  1.0000
1135.732  0.9978  1.0000
1135.792  0.9978  1.0000
1135.852  0.9978  1.0000
1135.912  0.9978  1.0000
1135.972  0.9978  1.0000
1136.031  0.9978  1.0000
1136.091  0.9978  1.0000
1136.151  0.9978  1.0000
1136.211  0.9978  1.0000
1136.271  0.9978  1.0000
1136.331  0.9978  1.0000
1136.390  0.9978  1.0000
1136.450  0.9978  1.0000
1136.510  0.9978  1.0000
1136.570  0.9978  1.0000
1136.630  0.9978  1.0000
1136.689  0.9978  1.0000
1136.749  0.9978  1.0000
1136.809  0.9978  1.0000
1136.869  0.9978  1.0000
1136.929  0.9978  1.0000
1136.989  0.9978  1.0000
1137.048  0.9978  1.0000
1137.108  0.9978  1.0000
1137.168  0.9978  1.0000
1137.228  0.9978  1.0000
1137.288  0.9978  1.0000
1137.348  0.9977  1.0000
1137.407  0.9977  1.0000
1137.467  0.9977  1.0000
1137.527  0.9977  1.0000
1137.587  0.9977  1.0000
1137.647  0.9977  1.0000
1137.706  0.9977  1.0000
1137.766  0.9977  1.0000
1137.826  0.9977  1.0000
1137.886  0.9977  1.0000
1137.946  0.9977  1.0000
1138.005  0.9977  1.0000
1138.065  0.9977  1.0000
1138.125  0.9977  1.0000
1138.185  0.9977  1.0000
1138.245  0.9977  1.0000
1138.305  0.9977  1.0000
1138.365  0.9977  1.0000
1138.424  0.9977  1.0000
1138.484  0.9977  1.0000
1138.544  0.9977  1.0000
1138.604  0.9977  1.0000
1138.664  0.9977  1.0000
1138.723  0.9977  1.0000
1138.783  0.9977  1.0000
1138.843  0.9977  1.0000
1138.903  0.9977  1.0000
1138.963  0.9976  1.0000
1139.022  0.9976  1.0000
1139.082  0.9976  1.0000
1139.142  0.9976  1.0000
1139.202  0.9976  1.0000
1139.262  0.9976  1.0000
1139.322  0.9976  1.0000
1139.381  0.9976  1.0000
1139.441  0.9976  1.0000
1139.501  0.9976  1.0000
1139.561  0.9976  1.0000
1139.621  0.9976  1.0000
1139.681  0.9976  1.0000
1139.740  0.9976  1.0000
1139.800  0.9976  1.0000
1139.860  0.9976  1.0000
1139.920  0.9976  1.0000
1139.980  0.9976  1.0000
1140.039  0.9976  1.0000
1140.099  0.9976  1.0000
1140.159  0.9976  1.0000
1140.219  0.9976  1.0000
1140.279  0.9976  1.0000
1140.339  0.9976  1.0000
1140.398  0.9976  1.0000
1140.458  0.9975  1.0000
1140.518  0.9975  1.0000
1140.578  0.9975  1.0000
1140.638  0.9975  1.0000
1140.698  0.9975  1.0000
