#wl     HI_0   HI_1
1134.611  0.9988  0.9981
1134.671  0.9982  0.9970
1134.730  0.9980  0.9967
1134.790  0.9980  0.9966
1134.850  0.9979  0.9966
1134.910  0.9979  0.9966
1134.970  0.9979  0.9966
1135.029  0.9979  0.9965
1135.089  0.9979  0.9965
1135.149  0.9979  0.9965
1135.209  0.9979  0.9965
1135.269  0.9979  0.9965
1135.329  0.9979  0.9965
1135.388  0.9979  0.9965
1135.448  0.9979  0.9965
1135.508  0.9979  0.9965
1135.568  0.9979  0.9965
1135.628  0.9979  0.9965
1135.688  0.9978  0.9965
1135.747  0.9978  0.9965
1135.807  0.9978  0.9965
1135.867  0.9978  0.9965
1135.927  0.9978  0.9964
1135.987  0.9978  0.9964
1136.046  0.9978  0.9964
1136.106  0.9978  0.9964
1136.166  0.9978  0.9964
1136.226  0.9978  0.9964
1136.286  0.9978  0.9964
1136.345  0.9978  0.9964
1136.405  0.9978  0.9964
1136.465  0.9978  0.9964
1136.525  0.9978  0.9964
1136.585  0.9978  0.9964
1136.645  0.9978  0.9964
1136.704  0.9978  0.9964
1136.764  0.9978  0.9964
1136.824  0.9978  0.9964
1136.884  0.9978  0.9964
1136.944  0.9978  0.9964
1137.004  0.9978  0.9963
1137.063  0.9978  0.9963
1137.123  0.9978  0.9963
1137.183  0.9978  0.9963
1137.243  0.9978  0.9963
1137.303  0.9978  0.9963
1137.362  0.9977  0.9963
1137.422  0.9977  0.9963
1137.482  0.9977  0.9963
1137.542  0.9977  0.9963
1137.602  0.9977  0.9963
1137.661  0.9977  0.9963
1137.721  0.9977  0.9963
1137.781  0.9977  0.9963
1137.841  0.9977  0.9963
1137.901  0.9977  0.9963
1137.961  0.9977  0.9963
1138.021  0.9977  0.9962
1138.080  0.9977  0.9962
1138.140  0.9977  0.9962
1138.200  0.9977  0.9962
1138.260  0.9977  0.9962
1138.320  0.9977  0.9962
1138.379  0.9977  0.9962
1138.439  0.9977  0.9962
1138.499  0.9977  0.9962
1138.559  0.9977  0.9962
1138.619  0.9977  0.9962
1138.678  0.9977  0.9962
1138.738  0.9977  0.9962
1138.798  0.9977  0.9962
1138.858  0.9977  0.9962
1138.918  0.9977  0.9962
1138.978  0.9976  0.9961
1139.037  0.9976  0.9961
1139.097  0.9976  0.9961
1139.157  0.9976  0.9961
1139.217  0.9976  0.9961
1139.277  0.9976  0.9961
1139.337  0.9976  0.9961
1139.396  0.9976  0.9961
1139.456  0.9976  0.9961
1139.516  0.9976  0.9961
1139.576  0.9976  0.9961
1139.636  0.9976  0.9961
1139.695  0.9976  0.9961
1139.755  0.9976  0.9961
1139.815  0.9976  0.9961
1139.875  0.9976  0.9961
1139.935  0.9976  0.9960
1139.995  0.9976  0.9960
1140.054  0.9976  0.9960
1140.114  0.9976  0.9960
1140.174  0.9976  0.9960
1140.234  0.9976  0.9960
1140.294  0.9976  0.9960
1140.353  0.9976  0.9960
1140.413  0.9976  0.9960
1140.473  0.9975  0.9960
1140.533  0.9975  0.9960
1140.593  0.9975  0.9960
1140.653  0.9975  0.9960
1140.712  0.9975  0.9960
1140.772  0.9975  0.9960
1140.832  0.9975  0.9959
1140.892  0.9975  0.9959
1140.952  0.9975  0.9959
1141.011  0.9975  0.9959
1141.071  0.9975  0.9959
1141.131  0.9975  0.9959
1141.191  0.9975  0.9959
1141.251  0.9975  0.9959
1141.311  0.9975  0.9959
1141.370  0.9975  0.9959
1141.430  0.9975  0.9959
1141.490  0.9975  0.9959
1141.550  0.9975  0.9959
1141.610  0.9975  0.9959
1141.669  0.9975  0.9959
1141.729  0.9975  0.9958
1141.789  0.9975  0.9958
1141.849  0.9974  0.9958
1141.909  0.9974  0.9958
1141.969  0.9974  0.9958
1142.028  0.9974  0.9958
1142.088  0.9974  0.9958
1142.148  0.9974  0.9958
1142.208  0.9974  0.9958
1142.268  0.9974  0.9958
1142.328  0.9974  0.9958
1142.387  0.9974  0.9958
1142.447  0.9974  0.9958
1142.507  0.9974  0.9958
1142.567  0.9974  0.9957
1142.627  0.9974  0.9957
1142.686  0.9974  0.9957
1142.746  0.9974  0.9957
1142.806  0.9974  0.9957
1142.866  0.9974  0.9957
1142.926  0.9974  0.9957
1142.985  0.9974  0.9957
1143.045  0.9974  0.9957
1143.105  0.9974  0.9957
1143.165  0.9973  0.9957
1143.225  0.9973  0.9957
1143.285  0.9973  0.9957
1143.344  0.9973  0.9956
1143.404  0.9973  0.9956
1143.464  0.9973  0.9956
1143.524  0.9973  0.9956
1143.584  0.9973  0.9956
1143.644  0.9973  0.9956
1143.703  0.9973  0.9956
1143.763  0.9973  0.9956
1143.823  0.9973  0.9956
1143.883  0.9973  0.9956
1143.943  0.9973  0.9956
1144.002  0.9973  0.9956
1144.062  0.9973  0.9956
1144.122  0.9973  0.9956
1144.182  0.9973  0.9955
1144.242  0.9973  0.9955
1144.302  0.9973  0.9955
1144.361  0.9973  0.9955
1144.421  0.9972  0.9955
1144.481  0.9972  0.9955
1144.541  0.9972  0.9955
1144.601  0.9972  0.9955
1144.661  0.9972  0.9955
1144.720  0.9972  0.9955
1144.780  0.9972  0.9955
1144.840  0.9972  0.9955
1144.900  0.9972  0.9954
1144.960  0.9972  0.9954
1145.019  0.9972  0.9954
1145.079  0.9972  0.9954
1145.139  0.9972  0.9954
1145.199  0.9972  0.9954
1145.259  0.9972  0.9954
1145.318  0.9972  0.9954
1145.378  0.9972  0.9954
1145.438  0.9972  0.9954
1145.498  0.9972  0.9954
1145.558  0.9972  0.9954
1145.618  0.9971  0.9954
1145.677  0.9971  0.9953
1145.737  0.9971  0.9953
1145.797  0.9971  0.9953
1145.857  0.9971  0.9953
1145.917  0.9971  0.9953
1145.977  0.9971  0.9953
1146.036  0.9971  0.9953
1146.096  0.9971  0.9953
1146.156  0.9971  0.9953
1146.216  0.9971  0.9953
1146.276  0.9971  0.9953
1146.335  0.9971  0.9953
1146.395  0.9971  0.9952
1146.455  0.9971  0.9952
1146.515  0.9971  0.9952
1146.575  0.9971  0.9952
1146.635  0.9971  0.9952
1146.694  0.9971  0.9952
1146.754  0.9970  0.9952
1146.814  0.9970  0.9952
1146.874  0.9970  0.9952
1146.934  0.9970  0.9952
1146.993  0.9970  0.9952
1147.053  0.9970  0.9952
1147.113  0.9970  0.9951
1147.173  0.9970  0.9951
1147.233  0.9970  0.9951
1147.293  0.9970  0.9951
1147.352  0.9970  0.9951
1147.412  0.9970  0.9951
1147.472  0.9970  0.9951
1147.532  0.9970  0.9951
1147.592  0.9970  0.9951
1147.651  0.9970  0.9951
1147.711  0.9970  0.9951
1147.771  0.9970  0.9950
1147.831  0.9969  0.9950
1147.891  0.9969  0.9950
1147.951  0.9969  0.9950
1148.010  0.9969  0.9950
1148.070  0.9969  0.9950
1148.130  0.9969  0.9950
1148.190  0.9969  0.9950
1148.250  0.9969  0.9950
1148.309  0.9969  0.9950
1148.369  0.9969  0.9950
1148.429  0.9969  0.9949
1148.489  0.9969  0.9949
1148.549  0.9969  0.9949
1148.609  0.9969  0.9949
1148.668  0.9969  0.9949
1148.728  0.9969  0.9949
1148.788  0.9969  0.9949
1148.848  0.9968  0.9949
1148.908  0.9968  0.9949
1148.968  0.9968  0.9949
1149.027  0.9968  0.9949
1149.087  0.9968  0.9948
1149.147  0.9968  0.9948
1149.207  0.9968  0.9948
1149.267  0.9968  0.9948
1149.326  0.9968  0.9948
1149.386  0.9968  0.9948
1149.446  0.9968  0.9948
1149.506  0.9968  0.9948
1149.566  0.9968  0.9948
1149.625  0.9968  0.9948
1149.685  0.9968  0.9947
1149.745  0.9968  0.9947
1149.805  0.9967  0.9947
1149.865  0.9967  0.9947
1149.925  0.9967  0.9947
1149.984  0.9967  0.9947
1150.044  0.9967  0.9947
1150.104  0.9967  0.9947
1150.164  0.9967  0.9947
1150.224  0.9967  0.9947
1150.284  0.9967  0.9946
1150.343  0.9967  0.9946
1150.403  0.9967  0.9946
1150.463  0.9967  0.9946
1150.523  0.9967  0.9946
1150.583  0.9967  0.9946
1150.642  0.9967  0.9946
1150.702  0.9967  0.9946
1150.762  0.9966  0.9946
1150.822  0.9966  0.9946
1150.882  0.9966  0.9945
1150.942  0.9966  0.9945
1151.001  0.9966  0.9945
1151.061  0.9966  0.9945
1151.121  0.9966  0.9945
1151.181  0.9966  0.9945
1151.241  0.9966  0.9945
1151.301  0.9966  0.9945
1151.360  0.9966  0.9945
1151.420  0.9966  0.9945
1151.480  0.9966  0.9944
1151.540  0.9966  0.9944
1151.600  0.9966  0.9944
1151.659  0.9965  0.9944
1151.719  0.9965  0.9944
1151.779  0.9965  0.9944
1151.839  0.9965  0.9944
1151.899  0.9965  0.9944
1151.958  0.9965  0.9944
1152.018  0.9965  0.9943
1152.078  0.9965  0.9943
1152.138  0.9965  0.9943
1152.198  0.9965  0.9943
1152.258  0.9965  0.9943
1152.318  0.9965  0.9943
1152.377  0.9965  0.9943
1152.437  0.9965  0.9943
1152.497  0.9965  0.9943
1152.557  0.9964  0.9942
1152.617  0.9964  0.9942
1152.676  0.9964  0.9942
1152.736  0.9964  0.9942
1152.796  0.9964  0.9942
1152.856  0.9964  0.9942
1152.916  0.9964  0.9942
1152.975  0.9964  0.9942
1153.035  0.9964  0.9942
1153.095  0.9964  0.9941
1153.155  0.9964  0.9941
1153.215  0.9964  0.9941
1153.275  0.9964  0.9941
1153.334  0.9963  0.9941
1153.394  0.9963  0.9941
1153.454  0.9963  0.9941
1153.514  0.9963  0.9941
1153.574  0.9963  0.9940
1153.634  0.9963  0.9940
1153.693  0.9963  0.9940
1153.753  0.9963  0.9940
1153.813  0.9963  0.9940
1153.873  0.9963  0.9940
1153.933  0.9963  0.9940
1153.992  0.9963  0.9940
1154.052  0.9963  0.9940
1154.112  0.9963  0.9939
1154.172  0.9962  0.9939
1154.232  0.9962  0.9939
1154.292  0.9962  0.9939
1154.351  0.9962  0.9939
1154.411  0.9962  0.9939
1154.471  0.9962  0.9939
1154.531  0.9962  0.9939
1154.591  0.9962  0.9938
1154.650  0.9962  0.9938
1154.710  0.9962  0.9938
1154.770  0.9962  0.9938
1154.830  0.9962  0.9938
1154.890  0.9962  0.9938
1154.950  0.9961  0.9938
1155.009  0.9961  0.9938
1155.069  0.9961  0.9937
1155.129  0.9961  0.9937
1155.189  0.9961  0.9937
1155.249  0.9961  0.9937
1155.308  0.9961  0.9937
1155.368  0.9961  0.9937
1155.428  0.9961  0.9937
1155.488  0.9961  0.9937
1155.548  0.9961  0.9936
1155.608  0.9961  0.9936
1155.667  0.9960  0.9936
1155.727  0.9960  0.9936
1155.787  0.9960  0.9936
1155.847  0.9960  0.9936
1155.907  0.9960  0.9936
1155.966  0.9960  0.9936
1156.026  0.9960  0.9935
1156.086  0.9960  0.9935
1156.146  0.9960  0.9935
1156.206  0.9960  0.9935
1156.266  0.9960  0.9935
1156.325  0.9960  0.9935
1156.385  0.9959  0.9935
1156.445  0.9959  0.9934
1156.505  0.9959  0.9934
1156.565  0.9959  0.9934
1156.625  0.9959  0.9934
1156.684  0.9959  0.9934
1156.744  0.9959  0.9934
1156.804  0.9959  0.9934
1156.864  0.9959  0.9934
1156.924  0.9959  0.9933
1156.983  0.9959  0.9933
1157.043  0.9958  0.9933
1157.103  0.9958  0.9933
1157.163  0.9958  0.9933
1157.223  0.9958  0.9933
1157.282  0.9958  0.9933
1157.342  0.9958  0.9932
1157.402  0.9958  0.9932
1157.462  0.9958  0.9932
1157.522  0.9958  0.9932
1157.582  0.9958  0.9932
1157.641  0.9958  0.9932
1157.701  0.9957  0.9932
1157.761  0.9957  0.9931
1157.821  0.9957  0.9931
1157.881  0.9957  0.9931
1157.941  0.9957  0.9931
1158.000  0.9957  0.9931
1158.060  0.9957  0.9931
1158.120  0.9957  0.9931
1158.180  0.9957  0.9930
1158.240  0.9957  0.9930
1158.299  0.9957  0.9930
1158.359  0.9956  0.9930
1158.419  0.9956  0.9930
1158.479  0.9956  0.9930
1158.539  0.9956  0.9930
1158.599  0.9956  0.9929
1158.658  0.9956  0.9929
1158.718  0.9956  0.9929
1158.778  0.9956  0.9929
1158.838  0.9956  0.9929
1158.898  0.9956  0.9929
1158.958  0.9955  0.9928
1159.017  0.9955  0.9928
1159.077  0.9955  0.9928
1159.137  0.9955  0.9928
1159.197  0.9955  0.9928
1159.257  0.9955  0.9928
1159.316  0.9955  0.9928
1159.376  0.9955  0.9927
1159.436  0.9955  0.9927
1159.496  0.9955  0.9927
