#wl     HI_0   HI_1
1134.602  0.9989  0.9983
1134.662  0.9982  0.9973
1134.722  0.9980  0.9970
1134.782  0.9980  0.9970
1134.841  0.9979  0.9969
1134.901  0.9979  0.9969
1134.961  0.9979  0.9969
1135.021  0.9979  0.9969
1135.081  0.9979  0.9969
1135.141  0.9979  0.9968
1135.200  0.9979  0.9968
1135.260  0.9979  0.9968
1135.320  0.9979  0.9968
1135.380  0.9979  0.9968
1135.440  0.9979  0.9968
1135.500  0.9979  0.9968
1135.559  0.9979  0.9968
1135.619  0.9979  0.9968
1135.679  0.9978  0.9968
1135.739  0.9978  0.9968
1135.799  0.9978  0.9968
1135.858  0.9978  0.9968
1135.918  0.9978  0.9968
1135.978  0.9978  0.9968
1136.038  0.9978  0.9968
1136.098  0.9978  0.9968
1136.157  0.9978  0.9968
1136.217  0.9978  0.9968
1136.277  0.9978  0.9967
1136.337  0.9978  0.9967
1136.397  0.9978  0.9967
1136.457  0.9978  0.9967
1136.516  0.9978  0.9967
1136.576  0.9978  0.9967
1136.636  0.9978  0.9967
1136.696  0.9978  0.9967
1136.756  0.9978  0.9967
1136.816  0.9978  0.9967
1136.875  0.9978  0.9967
1136.935  0.9978  0.9967
1136.995  0.9978  0.9967
1137.055  0.9978  0.9967
1137.115  0.9978  0.9967
1137.174  0.9978  0.9967
1137.234  0.9978  0.9967
1137.294  0.9978  0.9967
1137.354  0.9977  0.9967
1137.414  0.9977  0.9966
1137.474  0.9977  0.9966
1137.533  0.9977  0.9966
1137.593  0.9977  0.9966
1137.653  0.9977  0.9966
1137.713  0.9977  0.9966
1137.773  0.9977  0.9966
1137.832  0.9977  0.9966
1137.892  0.9977  0.9966
1137.952  0.9977  0.9966
1138.012  0.9977  0.9966
1138.072  0.9977  0.9966
1138.132  0.9977  0.9966
1138.191  0.9977  0.9966
1138.251  0.9977  0.9966
1138.311  0.9977  0.9966
1138.371  0.9977  0.9966
1138.431  0.9977  0.9966
1138.490  0.9977  0.9965
1138.550  0.9977  0.9965
1138.610  0.9977  0.9965
1138.670  0.9977  0.9965
1138.730  0.9977  0.9965
1138.790  0.9977  0.9965
1138.849  0.9977  0.9965
1138.909  0.9976  0.9965
1138.969  0.9976  0.9965
1139.029  0.9976  0.9965
1139.089  0.9976  0.9965
1139.148  0.9976  0.9965
1139.208  0.9976  0.9965
1139.268  0.9976  0.9965
1139.328  0.9976  0.9965
1139.388  0.9976  0.9965
1139.448  0.9976  0.9965
1139.507  0.9976  0.9965
1139.567  0.9976  0.9964
1139.627  0.9976  0.9964
1139.687  0.9976  0.9964
1139.747  0.9976  0.9964
1139.807  0.9976  0.9964
1139.866  0.9976  0.9964
1139.926  0.9976  0.9964
1139.986  0.9976  0.9964
1140.046  0.9976  0.9964
1140.106  0.9976  0.9964
1140.165  0.9976  0.9964
1140.225  0.9976  0.9964
1140.285  0.9976  0.9964
1140.345  0.9976  0.9964
1140.405  0.9975  0.9964
1140.464  0.9975  0.9964
1140.524  0.9975  0.9964
1140.584  0.9975  0.9963
1140.644  0.9975  0.9963
1140.704  0.9975  0.9963
1140.764  0.9975  0.9963
1140.823  0.9975  0.9963
1140.883  0.9975  0.9963
1140.943  0.9975  0.9963
1141.003  0.9975  0.9963
1141.063  0.9975  0.9963
1141.123  0.9975  0.9963
1141.182  0.9975  0.9963
1141.242  0.9975  0.9963
1141.302  0.9975  0.9963
1141.362  0.9975  0.9963
1141.422  0.9975  0.9963
1141.481  0.9975  0.9963
1141.541  0.9975  0.9962
1141.601  0.9975  0.9962
1141.661  0.9975  0.9962
1141.721  0.9975  0.9962
1141.781  0.9974  0.9962
1141.840  0.9974  0.9962
1141.900  0.9974  0.9962
1141.960  0.9974  0.9962
1142.020  0.9974  0.9962
1142.080  0.9974  0.9962
1142.140  0.9974  0.9962
1142.199  0.9974  0.9962
1142.259  0.9974  0.9962
1142.319  0.9974  0.9962
1142.379  0.9974  0.9962
1142.439  0.9974  0.9962
1142.498  0.9974  0.9961
1142.558  0.9974  0.9961
1142.618  0.9974  0.9961
1142.678  0.9974  0.9961
1142.738  0.9974  0.9961
1142.797  0.9974  0.9961
1142.857  0.9974  0.9961
1142.917  0.9974  0.9961
1142.977  0.9974  0.9961
1143.037  0.9974  0.9961
1143.097  0.9973  0.9961
1143.156  0.9973  0.9961
1143.216  0.9973  0.9961
1143.276  0.9973  0.9961
1143.336  0.9973  0.9961
1143.396  0.9973  0.9960
1143.456  0.9973  0.9960
1143.515  0.9973  0.9960
1143.575  0.9973  0.9960
1143.635  0.9973  0.9960
1143.695  0.9973  0.9960
1143.755  0.9973  0.9960
1143.814  0.9973  0.9960
1143.874  0.9973  0.9960
1143.934  0.9973  0.9960
1143.994  0.9973  0.9960
1144.054  0.9973  0.9960
1144.114  0.9973  0.9960
1144.173  0.9973  0.9960
1144.233  0.9973  0.9959
1144.293  0.9973  0.9959
1144.353  0.9972  0.9959
1144.413  0.9972  0.9959
1144.472  0.9972  0.9959
1144.532  0.9972  0.9959
1144.592  0.9972  0.9959
1144.652  0.9972  0.9959
1144.712  0.9972  0.9959
1144.772  0.9972  0.9959
1144.831  0.9972  0.9959
1144.891  0.9972  0.9959
1144.951  0.9972  0.9959
1145.011  0.9972  0.9959
1145.071  0.9972  0.9958
1145.130  0.9972  0.9958
1145.190  0.9972  0.9958
1145.250  0.9972  0.9958
1145.310  0.9972  0.9958
1145.370  0.9972  0.9958
1145.430  0.9972  0.9958
1145.489  0.9972  0.9958
1145.549  0.9971  0.9958
1145.609  0.9971  0.9958
1145.669  0.9971  0.9958
1145.729  0.9971  0.9958
1145.788  0.9971  0.9958
1145.848  0.9971  0.9958
1145.908  0.9971  0.9957
1145.968  0.9971  0.9957
1146.028  0.9971  0.9957
1146.088  0.9971  0.9957
1146.147  0.9971  0.9957
1146.207  0.9971  0.9957
1146.267  0.9971  0.9957
